track_name,artist_name,valence,energy
Back Foot,Dinosaur Pile-Up,0.844,0.922
The Passenger,Iggy Pop,0.746,0.898
In My Dreams,Kali Uchis,0.907,0.839
Feel the Pain,Dinosaur Jr.,0.854,0.804
Age Of Consent - 2015 Remastered Version,New Order,0.756,0.91
Novacaine,10 Years,0.74,0.865
No Bullets Spent,Spoon,0.826,0.706
Doomsday,MF DOOM,0.849,0.816
Souk Eye,Gorillaz,0.829,0.853
Superfast Jellyfish (feat. Gruff Rhys and De La Soul),Gorillaz,0.819,0.751
This Head I Hold,Electric Guest,0.961,0.871
"When They Fight, They Fight",Generationals,0.966,0.898
Settle Down,The 1975,0.84,0.954
Make A Move,Icon For Hire,0.704,0.83
Hustler,Zayde Wølf,0.888,0.857
Painting (Masterpiece),Lewis Del Mar,0.711,0.861
Who's Your Farmer,Chris Janson,0.798,0.861
I'll Meet You There,Phil Vassar,0.781,0.803
Dyslexic Heart,Paul Westerberg,0.843,0.902
Blue Blooded Woman,Alan Jackson,0.934,0.831
Them Country Boys,The Lacs,0.742,0.894
Ball Cap,Glen Templeton,0.835,0.916
When You're In Love With A Beautiful Woman,Dr. Hook,0.852,0.728
Truck Music (feat. Charlie Farley),Demun Jones,0.717,0.747
I'm Holdin' On To Love (To Save My Life),Shania Twain,0.887,0.918
Small Town Big Time,Blake Shelton,0.824,0.904
Young Forever,High Valley,0.731,0.898
I'm Gonna Getcha Good! - Red Single Edit,Shania Twain,0.938,0.814
This Is Racket County,Racket County,0.865,0.956
Because We Can,Jetty Road,0.712,0.754
Cupid's Got a Shotgun,Carrie Underwood,0.75,0.95
God's Been Good To Me,Keith Urban,0.869,0.834
Some Town Somewhere,Kenny Chesney,0.923,0.806
The Shake - Remastered Version,Neal McCoy,0.903,0.906
Bad Girl,Chris Lane,0.822,0.804
Working Man's Ph.d.,Aaron Tippin,0.767,0.759
Beer Bucket List,David Adam Byrnes,0.811,0.835
Army,Lady Antebellum,0.758,0.769
Six-Pack Summer,Phil Vassar,0.843,0.733
Cold Beer Drinker,Luke Bryan,0.864,0.896
I'm Just a Man,Jason Aldean,0.723,0.748
Save It For A Rainy Day,The Jayhawks,0.706,0.763
"Tortured, Tangled Hearts",Dixie Chicks,0.713,0.724
Red Light,Brad Cox,0.757,0.752
Smithsonian,The Avett Brothers,0.785,0.829
My Next Broken Heart,Brooks & Dunn,0.759,0.879
Cocaine Blues,Hank Williams III,0.927,0.743
Ten Times Crazier,Blake Shelton,0.76,0.805
American Heartbreaker,Jimmie Allen,0.822,0.744
The Dream's In The Ditch,Deer Tick,0.905,0.913
My Roots,Upchurch,0.719,0.775
Adalida,George Strait,0.966,0.854
Down at the Twist and Shout,Mary Chapin Carpenter,0.972,0.953
Back Porch,Dierks Bentley,0.809,0.806
If I Said You Have a Beautiful Body (Would You Hold It Against Me),The Bellamy Brothers,0.753,0.775
(I Wouldn't Go There) If I Were You,Cody Johnson,0.766,0.936
Love In A College Town,Luke Bryan,0.883,0.775
Find Me A Baby,Josh Turner,0.817,0.738
Little Hank,Riley Green,0.904,0.831
Whiskey River - Live,Willie Nelson,0.764,0.718
Bloody Mary Morning,Willie Nelson,0.856,0.766
A Little More Love,Jerrod Niemann,0.715,0.889
"I'm Headed Your Way, Jose",Chris Young,0.786,0.848
Broken Heart,Josh Ward,0.722,0.836
Queen Of Hearts,Juice Newton,0.975,0.779
What Would I've Become,Ryan Bingham,0.728,0.838
Freestyle,Lady Antebellum,0.917,0.901
Tonight on Repeat (feat. Josh Thompson),The Lacs,0.765,0.824
I Brake For Brunettes,Rhett Akins,0.931,0.858
Play Her Tonight,Riley Green,0.836,0.906
Dance Away My Broken Heart,Abby Anderson,0.924,0.843
That Don't Impress Me Much - Dance Mix,Shania Twain,0.961,0.821
Hurtin' (On the Bottle),Margo Price,0.813,0.726
Blue Collar Dollars,Granger Smith,0.787,0.767
Green,Blake Shelton,0.761,0.883
Fishin' In The Dark,Emerson Drive,0.791,0.839
Jacked Up (Remix) [feat. Colt Ford & Bubba Sparxxx],Charlie Farley,0.765,0.725
Ain't Even Drinkin',Tyler Farr,0.834,0.907
Maybe,Chris Lane,0.739,0.846
Gimme Some Water,Eddie Money,0.827,0.732
Omaha,Waylon Jennings,0.962,0.704
A.M.,Chris Young,0.706,0.905
Taxis in a Small Town,Nate Kenyon,0.776,0.703
The Sand I Brought To The Beach,Luke Bryan,0.737,0.883
I Wanna Fall in Love,Lila McCann,0.719,0.783
Take Me As I Am,Drake White,0.857,0.837
Some Days You Gotta Dance,Dixie Chicks,0.909,0.903
I'm Thinking Country,Frankie Ballard,0.856,0.838
Pray About Everything,Luke Bryan,0.719,0.863
Highway 40 Blues,Ricky Skaggs,0.949,0.752
Old Flame,Chris Lane,0.792,0.752
What'cha Say We Don't,Montgomery Gentry,0.801,0.763
I Wanna Do It All,Terri Clark,0.781,0.892
Times Like These,Hayes Carll,0.802,0.91
Drivin' My Life Away - 2009 Remaster,Eddie Rabbitt,0.89,0.797
Another Like You,Hayes Carll,0.811,0.784
Callin' My Name,Chris Young,0.71,0.86
Square Pegs,Kelsea Ballerini,0.87,0.83
Crossroads - Remastered Version,Ry Cooder,0.744,0.736
You Know You Wanna,Filmore,0.742,0.722
Pants,Walker Hayes,0.929,0.879
Lean It On Back,Sugarland,0.714,0.865
Rodeo (feat. Alexander King),Jelly Roll,0.75,0.76
No Can Left Behind,Cole Swindell,0.729,0.852
Cadillac Cowboy,Chris LeDoux,0.939,0.807
I Don’t Wanna Be Your Friend,Scotty McCreery,0.939,0.74
Hard-Core Troubadour,Steve Earle,0.85,0.915
