track_name,artist_name,valence,energy
Cry For You,Lecrae,0.276,0.353
Wild Horses,The Sundays,0.194,0.283
Crowded Places,BANKS,0.112,0.339
Birthday Boy (feat. Zack Villere),tobi lou,0.207,0.387
Roses,Mac Ayres,0.276,0.382
Enough - Radio Version,Elias Dummer,0.168,0.351
If You Hate Me,Kiana Ledé,0.194,0.399
June,Florence + The Machine,0.179,0.362
By Your Side,The 1975,0.138,0.312
Ascension,Jhene Aiko,0.0399,0.359
Seasons,Chris Cornell,0.194,0.384
Whiskey And You,Aaron Lewis,0.158,0.333
Coming Alive,Two Another,0.152,0.37
"Baby Mine - From ""Dumbo""/Soundtrack Version",Arcade Fire,0.15,0.355
The Time I've Wasted,Lori McKenna,0.261,0.25
"Thank You - Recorded Live At Esplanade Arts & Heritage Centre, Medicine Hat, Alberta, Canada on April 27, 2011",Chris Cornell,0.103,0.317
How To Disappear Completely,Radiohead,0.205,0.302
Waze,Tierra Whack,0.162,0.219
No Less,SG Lewis,0.166,0.278
Into Dust,Mazzy Star,0.122,0.132
Grace,Florence + The Machine,0.156,0.251
Lifeline,Souly Had,0.198,0.344
Feel,Sonder,0.186,0.259
My Best Dress - Demo,Florence + The Machine,0.211,0.272
Wolves,Phosphorescent,0.097,0.288
I'll Be Around,Yo La Tengo,0.0737,0.328
Prayed Up,Summer Walker,0.191,0.269
Pieces,Red,0.0644,0.354
Settling,Summer Walker,0.17,0.217
True Love Waits,Radiohead,0.0379,0.132
Hold Her,for KING & COUNTRY,0.06,0.295
The Title,Xavier Omär,0.294,0.187
Time,Snoh Aalegra,0.114,0.224
Videotape,Radiohead,0.0466,0.384
Just Want You,Sarah Reeves,0.224,0.325
WILD,Dijon,0.227,0.383
Great Is Thy Faithfulness (Beginning to End) [feat. Mike Weaver],one sonic society,0.28,0.347
Leaf,zack villere,0.191,0.356
Nothingman - Remastered,Pearl Jam,0.15,0.387
Knocking on Heavens Door,RAIGN,0.128,0.389
Bucket List,Moods,0.1,0.186
Stronger,Raveena,0.0456,0.312
Body Smile,dvsn,0.134,0.24
Wild Horses,The Flying Burrito Brothers,0.27,0.391
A Little Bit Of Everything,Dawes,0.269,0.393
Mexico,Incubus,0.152,0.308
Luna - Remastered,The Smashing Pumpkins,0.111,0.274
Have Yourself A Merry Little Christmas,Little Big Town,0.221,0.178
Fall out of Love,Turnpike Troubadours,0.29,0.324
Lead On,George Strait,0.121,0.334
When Somebody Loves You,Alan Jackson,0.192,0.306
First Time Ever I Saw Your Face,Johnny Cash,0.192,0.114
Angel from Montgomery - Live,John Prine,0.224,0.255
Songs That She Sang in the Shower,Jason Isbell,0.293,0.3
Wreck of the Edmund Fitzgerald - 45 Version,Gordon Lightfoot,0.228,0.323
I'm Movin' On - Remastered Version,Rascal Flatts,0.286,0.311
When You Love Someone,Jake Owen,0.154,0.196
Like Red On a Rose,Alan Jackson,0.172,0.315
Softly And Tenderly,Reba McEntire,0.124,0.377
I'll Be Home For Christmas,Rascal Flatts,0.0995,0.158
Christmas Makes Me Cry,Kacey Musgraves,0.225,0.215
Unhappily Married,Pistol Annies,0.292,0.303
Never Let Her Go,Florida Georgia Line,0.247,0.322
Gone Gone Gone,Turnpike Troubadours,0.263,0.352
Because You Love Me,Jo Dee Messina,0.139,0.351
You Lie - Single Version,Reba McEntire,0.224,0.391
Martin,Zac Brown Band,0.138,0.373
Go on Home,Chris Knight,0.162,0.376
Tattoos & Scars,Montgomery Gentry,0.241,0.287
Huckleberry,Toby Keith,0.293,0.389
Cold As Stone,Lady Antebellum,0.165,0.317
The Voyager,Jenny Lewis,0.15,0.356
Drinkin' Too Much - 8pm,Sam Hunt,0.183,0.247
Burn One Down - 1992 Version,Clint Black,0.299,0.381
I'll Think Of Something,Mark Chesnutt,0.273,0.349
I'm So Lonesome I Could Cry,Johnny Cash,0.279,0.118
Rain,Jelly Roll,0.162,0.374
Forever Today,Reckless Kelly,0.279,0.25
Boy (Acoustic),Lee Brice,0.233,0.216
Dear Diamond,Miranda Lambert,0.154,0.347
I Won't Let You Go,David Nail,0.139,0.304
Just Like Them Horses,Reba McEntire,0.156,0.369
